Substation ID,Substation Name,Nominal Voltage, Transformer Capacity,Firm Capacity,Maximum Demand (MVA),Demand Classification,Substation Class
4038461,Crown Street,11,23,8,4.788,GREEN,Primary
4038456,Four Lane Ends,11,23,23,14.317,GREEN,Primary
4038458,Legrams Mill Lane,11,18.75,23,9.916,GREEN,Primary
4038467,Rawson Road,11,23,23,10.994,GREEN,Primary
4038459,Saint Street,11,23,23,6.48,GREEN,Primary
4038457,Toller Lane,11,18.75,23,10.759,GREEN,Primary
4038843,Halifax 33/11kV,11,40,40,33.683,GREEN,Primary
4038484,Burnleyville,11,23,23,13.039,GREEN,Primary
4038481,Liversedge,11,18.75,23,10.87,GREEN,Primary
4038810,Nab Lane,11,25,12,9.359,GREEN,Primary
4038651,White Lee,11,23,23,11.604,GREEN,Primary
4038501,Denholme,11,12,6.5,3.845,GREEN,Primary
4038507,Furness Avenue,11,23,23,12.277,GREEN,Primary
4038508,Gibraltar Road,11,24,24,15.366,GREEN,Primary
4038514,Queensbury,11,24,24,14.528,GREEN,Primary
4038510,Swan Bank Lane,11,24,24,12.309,GREEN,Primary
4038455,Thornton,11,18.75,23,12.659,GREEN,Primary
4038728,Easington,11,24,17,5.445,GREEN,Primary
4038721,Hedon Road,11,23,23,15.732,GREEN,Primary
4038893,Hull East 33/11kV,11,25,23,12.493,GREEN,Primary
4038719,King George Dock,11,30,30,8.332,GREEN,Primary
4038807,Ottringham Road,11,24,15,13.062,AMBER,Primary
4038726,Patrington Road,11,24,8,5.29,GREEN,Primary
4038717,Westcott Street,11,23,23,14.189,GREEN,Primary
4038727,Withernsea,11,24,10,5.779,GREEN,Primary
4038704,Elgar Road,11,18.75,23,15.511,GREEN,Primary
4038698,Gibson Lane,11,18.75,23,15.746,GREEN,Primary
4038766-1,Newport 1,11,24,18.4,16.709,RED,Primary
4038697,Skillings Lane,11,23,24,9.708,GREEN,Primary
4038797,Eggborough,11,7.5,8,4.44,GREEN,Primary
4038692-11,Ferrybridge A 11kV,11,30,30,22.9,RED,Primary
7501276,South Elmsall,11,30,30,14.586,GREEN,Primary
4038816,Grimethorpe,11,25,25,8.375,GREEN,Primary
4038684,Hemsworth,11,12.5,10,8.518,RED,Primary
4038686,Ledston,11,18.75,23,12.123,AMBER,Primary
4038581,Monckton,11,12.5,15.3,8.867,GREEN,Primary
4038689,South Kirkby,11,18.75,23,19.651,AMBER,Primary
4038738,Convamore Road,11,23,23,11.295,GREEN,Primary
4038740,Conyard Road,11,18.75,23,8.701,GREEN,Primary
4038741,Wesley Crescent,11,23,23,13.163,GREEN,Primary
4038580,Burton Road,11,30,22.9,17.462,GREEN,Primary
4038578,Fish Dam Lane,11,24,24,10.044,GREEN,Primary
4038579,Stairfoot,11,24,24,18.6,GREEN,Primary
4038534,Hope,11,18.75,23,4.841,GREEN,Primary
4038533,Penistone,11,24,24,13.342,GREEN,Primary
4038535,Wheatacre Road,11,12.5,8,8.01,RED,Primary
4038782,Barrow,11,24,11.6,7.269,GREEN,Primary
4038786,Clough Lane,11,24,8,3.302,RED,Primary
4038730,Eastfield Road,11,23,7,6.53,AMBER,Primary
4038731,Humber Road,11,23,23,11.194,GREEN,Primary
4038732,Queens Road,11,40,37,21.429,GREEN,Primary
4038539,Baslow Road,11,24,24,9.92,GREEN,Primary
4038556,Dronfield,11,24,24,10.84,GREEN,Primary
4038547,Greenhill,11,24,10,6.242,GREEN,Primary
4038544,Millhouses,11,24,24,6.93,GREEN,Primary
4038549,Woodseats,11,24,24,15.275,GREEN,Primary
4038840,Keighley,11,30,39,16.96,GREEN,BSP
4038695,Beal,11,30,16.2,8.21,GREEN,Primary
4038687,Carr Lane,11,18.75,23,13.575,GREEN,Primary
4038688,Smith Street,11,23,23,7.929,GREEN,Primary
7395321,Pollington,11,30,8.5,6.676,RED,Primary
4038693,Weeland Road,11,23,21.1,21.04,AMBER,Primary
4038624,Abbey Road,11,23,23,13.161,GREEN,Primary
4038656,Bramley,11,18.75,23,17.74,AMBER,Primary
4038657,Farnley Crescent,11,24,24,12.6,GREEN,Primary
4038634,Fir Tree Lane,11,23,23,16.374,GREEN,Primary
4038625,Iveson House,11,18.75,23,13.849,GREEN,Primary
4038626,West Park,11,23,12,8.418,GREEN,Primary
4038659,Whingate,11,18.75,23,6.964,GREEN,Primary
4038802,Burley Street,11,40,34.8,22.654,GREEN,Primary
4038628,Clarendon Road,11,23,23,13.828,GREEN,Primary
4038630,Upper Basinghall Street,11,24,24,14.11,GREEN,Primary
4038633-1,Allerton Hill T1,11,18.75,23,8.857,GREEN,Primary
4038637,Burmantofts,11,18.75,23,14.01,GREEN,Primary
4038638,Hillcrest,11,18.75,23,12.521,GREEN,Primary
4038789,Knostrop,11,24,24,6.917,GREEN,Primary
4038639,Pontefract Lane 1/2,11,23,23,12.747,GREEN,Primary
4038643,Selby Road,11,18.75,23,14.897,GREEN,Primary
4038641,York Road,11,18.75,23,18.838,AMBER,Primary
4038632,Buslingthorpe Green,11,23,23,12.279,GREEN,Primary
4038631,Carlton Hill,11,18.75,23,18.812,GREEN,Primary
4038636,Leylands Road,11,23,23,14.219,GREEN,Primary
4038627,Moor Road,11,18.75,23,20.043,AMBER,Primary
4038515,Dowker Street,11,23,24,12.489,GREEN,Primary
4038522,Grove Street,11,23,23,10.92,GREEN,Primary
4038517,Honley,11,24,24,10.764,GREEN,Primary
4038512,Meltham,11,23,23,9.161,GREEN,Primary
4038516,Oakes Road,11,24,24,15.371,GREEN,Primary
4038511,Prospect Road,11,23,23,19.77,GREEN,Primary
4038506,Slaithwaite,11,24,24,7.363,GREEN,Primary
7096966,Armouries Drive,11,30,30,9.528,GREEN,Primary
4038670,Brookfield Street,11,23,23,10.262,GREEN,Primary
4038669,Clarence Road,11,30,22.86,11.49,GREEN,Primary
4038667,Holbeck,11,23,23,17.038,GREEN,Primary
4038671,Leasowe Road,11,23,23,11.278,GREEN,Primary
4038672,Stourton 33/11kV,11,18.75,19.4,15.482,AMBER,Primary
4038831,Sweet Street,11,30,30,11.075,GREEN,Primary
7322111,Whitehall Road 2/3,11,30,30,6.44,GREEN,Primary
4038488,Bramhope,11,24,8,3.391,GREEN,Primary
4038475,Chevin End,11,30,30,7.927,GREEN,Primary
4038478,Hallam Street,11,24,23,10.748,GREEN,Primary
4038464,Kirk Drive,11,23,23,19.916,GREEN,Primary
4038483,North Avenue,11,18.75,23,12.045,GREEN,Primary
4038823,Pool,11,24,23.3,8.165,GREEN,Primary
4038736,Doughty Road,11,24,20.9,17.5,GREEN,Primary
4038737,Grimsby Docks,6.6,18.75,23,2.247,GREEN,Primary
4038739,Marsden Road,11,24,18,15.2,AMBER,Primary
4038550,Blue Boy Street,11,24,24,10.345,GREEN,Primary
4038542,Claywheels Lane,11,24,24,20.437,GREEN,Primary
4038545,Crookesmoor Road,11,23,24,16.652,GREEN,Primary
4038537,Loxley Road,11,24,8,3.059,GREEN,Primary
4038546,Penistone Road,11,23,20.2,8.32,GREEN,Primary
4038543,Rawson Spring Road,11,23,20.2,12.501,GREEN,Primary
4038540,Stannington Road,11,23,24,15.433,GREEN,Primary
4038561,Gleadless Valley,11,24,24,10.374,GREEN,Primary
4038541,Marmion Road,11,24,24,22.89,AMBER,Primary
4038559,Norfolk Park,11,24,24,15.465,GREEN,Primary
4038805,Saxon Road,11,24,24,10.99,GREEN,Primary
4038538,Snaithing Park Road,11,24,24,11.01,GREEN,Primary
4038753,Olympia Mills,11,30,30,15.94,GREEN,Primary
4038752,Selby,11,30,29,23.2,GREEN,Primary
4038762,Thorpe Road,11,24,24,17.899,GREEN,Primary
4038853,Park Street,11,30,39,13.538,GREEN,BSP
7256106,Barnsley Road,11,30,30,9.944,GREEN,Primary
4038560,Bellhouse Road,11,23,23,11.231,GREEN,Primary
4038563,Newhall Road,11,24,24,17.189,GREEN,Primary
4038555,Stanley Street,11,24,24,14.521,GREEN,Primary
4038564,Stevenson Road,11,24,19.4,9.504,GREEN,Primary
4038854,Rawmarsh Road 1_2,11,30,39,23.239,GREEN,BSP
4038898,Rawmarsh Road 3_4,11,30,39,28.16,GREEN,BSP
4038482,Rawdon,11,30,23,12.81,GREEN,Primary
4038486,Rodley Lane,11,12.5,15.3,13.428,AMBER,Primary
4038653,Swinnow Moor,11,18.75,23,14.096,GREEN,Primary
4038479,Thornbury,11,18.75,23,14.085,GREEN,Primary
4038485,Varley Street,11,18.75,23,14.477,GREEN,Primary
4038815,Ellifoot Lane,11,25,2.1,2.38,RED,Primary
4038809,Yorkshire Water Hull Road,11,24,23,6.686,GREEN,Primary
4038773,Firth Brown,11,24,24,11.271,GREEN,Primary
4038779,Hibaldstow,11,12.5,15.3,9.759,GREEN,Primary
4038781,Pasture Road South,11,24,20,9.632,GREEN,Primary
4038774,South Ferriby,11,30,21,15.253,GREEN,Primary
7378946,Wrawby,11,30,30,17.598,GREEN,Primary
4038875,Sculcoates A,11,30,39,24.585,GREEN,BSP
4038791,Billet Lane,11,24,24,12.152,GREEN,Primary
4038768,Flixborough,11,24,24,17.885,RED,Primary
4038770,Foxhills,11,24,18,15.843,GREEN,Primary
4038771,Station Road,11,30,24.8,21.134,GREEN,Primary
4038772,Bottesford,11,18.75,22.86,12.291,GREEN,Primary
4038769,Bridges Road,11,23,23,14.125,GREEN,Primary
4038554,Arundel Street,11,24,24,17.692,AMBER,Primary
4038551,Ellin Street 1/3,11,24,40.8,15.076,GREEN,Primary
4038568,Mansfield Road,11,24,16,11.241,GREEN,Primary
4038557,Park Hill,11,24,24,13.206,GREEN,Primary
4038553,Silver Street,11,24,24,12.635,GREEN,Primary
4038548,Victoria Street,11,24,24,19.123,GREEN,Primary
4038489,Barnoldswick,11,12.5,15.3,10.129,GREEN,Primary
4038498,Bolton Road,11,12.5,15.3,6.967,GREEN,Primary
4038500,Chelker Reservoir,11,24,8,4.041,GREEN,Primary
4038493,Cracoe,11,10,12.5,6.992,GREEN,Primary
4038496,Crosshills,11,12.5,15.3,10.98,GREEN,Primary
4038504,Ilkley,11,18.75,23,12.809,GREEN,Primary
4038491,Ings Lane,11,23,8,6.36,AMBER,Primary
4038490,Salterforth,11,12.5,15.3,10.105,GREEN,Primary
7096982,Skipton,11,30,19.2,13.677,GREEN,Primary
4038513,Elland 33/11kV,11,18.75,18.21,14.212,RED,Primary
4038492,Hebden Bridge,11,7.5,7.5,3.213,GREEN,Primary
4038495,Mytholmroyd,11,12.5,15.3,9.822,GREEN,Primary
4038793,Salterhebble,11,24,24,17.588,GREEN,Primary
4038806,Sowerby Bridge 33/11kV,11,24,23,17.065,GREEN,Primary
4038804,Todmorden,11,24,23,12.767,GREEN,Primary
4038520,Birkby,11,24,24,12.096,GREEN,Primary
4038527,Dalton,11,24,24,14.22,GREEN,Primary
4038521,Folly Hall,11,24,24,13.411,GREEN,Primary
4038524,Saint Andrews Road 33/11kV,11,23,23,12.5,GREEN,Primary
4038518,Yew Green Road,11,24,23,11.599,GREEN,Primary
4038812,Dudley Hill,11,25,30,17.315,GREEN,Primary
4038466,Low Moor,11,23,23,17.384,GREEN,Primary
4038465,Odsal,11,23,23,16.225,GREEN,Primary
4038469,Spring Mill Street,11,23,23,15.206,GREEN,Primary
4038476,Tong Street,11,18.75,23,12.296,GREEN,Primary
4038460,Wibsey,11,18.75,23,12.684,GREEN,Primary
4000000,Stourton 132/11kV,11,30,12,11.276,RED,BSP
4038611,Fullerton Road,11,24,24,11.633,GREEN,Primary
4038655,Batley,11,18.75,22.9,22.664,RED,Primary
4038652,Calder Wharf,11,18.75,23,14.933,GREEN,Primary
4038660,Denby Grange,11,23,8,3.182,GREEN,Primary
4038529,Hazlehead,11,24,24,10.284,GREEN,Primary
4038666,Horbury,11,24,23,10.935,GREEN,Primary
4038530,Mirfield,11,24,23,14.732,GREEN,Primary
4038799,Park Road,11,18.75,23,15.766,GREEN,Primary
4038526,Scholes,11,24,24,11.277,GREEN,Primary
4038819,Beighton,11,25,25,16.365,GREEN,Primary
4038621,Costhorpe,11,12.5,10,6.565,AMBER,Primary
4038619,Dinnington,11,30,30,16.394,GREEN,Primary
4038603,Edlington,11,18.75,23,16.073,GREEN,Primary
4038572,Hackenthorpe,11,24,24,12.86,GREEN,Primary
4038622,Harworth,11,30,30,10.069,GREEN,Primary
4038616,Kiveton Park,11,12.5,15.3,8.941,GREEN,Primary
4038615,Mexborough 1_2,11,24,24,18.035,GREEN,Primary
4038617,New Orchard Lane,11,18.75,23,14.998,RED,Primary
4038614,Silverwood,11,18.75,23,14.545,GREEN,Primary
4038620,Tickhill Road,11,30,23,10.852,GREEN,Primary
4038676,Denby Dale Road,11,24,24,10.87,GREEN,Primary
4038674,Durkar Low Lane,11,18.75,24,16.672,GREEN,Primary
4038678,Woodcock Street,11,23,20.2,13.04,GREEN,Primary
4038677,York Street,11,23,23,17.412,GREEN,Primary
4038673,Alverthorpe Road,11,18.75,23,14.585,GREEN,Primary
4038785,Kenmore Road,11,24,24,16.55,GREEN,Primary
4038662,Milton Place,11,18.75,23,16.145,GREEN,Primary
4038675,Outwood,11,18.75,23,19.676,AMBER,Primary
4038679,Royds Lane,11,23,23,13.601,GREEN,Primary
4038808,Aldham,11,25,25,13.103,AMBER,Primary
4038800,Dearne Road,11,24,24,12.86,AMBER,Primary
4038558,Ecclesfield,11,18.75,23,13.385,AMBER,Primary
4038582,Elsecar,11,18.75,23,8.444,AMBER,Primary
4038583,Houghton Main,11,12.5,15.3,7.655,AMBER,Primary
7393498,Kilnhurst,11,30,30,16.567,AMBER,Primary
4038552,Tankersley Park,11,18.75,23,19.573,AMBER,Primary
4038584,Wath Upon Dearne,11,30,24,13.159,AMBER,Primary
4038577,Worsbrough Park,11,18.75,23,15.633,AMBER,Primary
4038646,Barwick,11,23,23,12.664,GREEN,Primary
4038682,Ninelands Lane,11,23,23,13.393,GREEN,Primary
4038642,Oakwood Lane,11,18.75,23,9.975,GREEN,Primary
4038640,Roman Avenue,11,18.75,23,12.319,GREEN,Primary
4038644,Seacroft,11,23,23,11.049,GREEN,Primary
4038645,Sledmere Garth,11,18.75,23,5.207,GREEN,Primary
4038606,New Droppingwell Road,11,30,25.4,9.657,GREEN,Primary
4038566,Tinsley Park Road,11,24,24,17.085,AMBER,Primary
4038829,Waverley Business Park,11,40,38,8.51,GREEN,Primary
7208979,Shepcote Tinsley,11,30,30,1.753,GREEN,Primary
4038744,Belmont Covert,11,24,8,3.621,GREEN,Primary
4038743,Binbrook,11,7.5,7.5,1.85,GREEN,Primary
4038729,Caistor,11,12,9.5,6.4,GREEN,Primary
4038747,Grainthorpe,11,7.5,7.5,5.204,GREEN,Primary
4038811,Keddington Road,11,25,12,6.79,GREEN,Primary
4038746,Louth,11,23,23,19.866,GREEN,Primary
4038745,North Thoresby,11,24,8,4.211,GREEN,Primary
4038748,South Reston,11,24,8,3.748,GREEN,Primary
4038820,Walesby,11,24,8,6.06,AMBER,Primary
4038734,BTP,11,18.75,23,15.573,GREEN,Primary
4038733,Great Coates,11,23,23,18.014,GREEN,Primary
4038735,Scartho,11,18.75,23,19.02,GREEN,Primary
4038892,Yarborough Road 33/11kV,11,24,23,13.112,GREEN,Primary
4038716,Alfred Gelder Street,11,24,24,13.75,GREEN,Primary
4038712,Clarendon Street,11,18.75,23,15.246,GREEN,Primary
4038706,County Road North,11,23,23,15.104,GREEN,Primary
4038705-1,Hessle Road 1,11,23,23,5.963,GREEN,Primary
4038708,National Avenue,11,24,24,7.966,GREEN,Primary
4038709,Plangeo,11,24,24,14.041,GREEN,Primary
4038710,West Docks,11,23,23,13.299,GREEN,Primary
7096989,Bradford West,132,240,886,372.04,GREEN,GSP
7096969,Creyke Beck,132,240,886,369.67,GREEN,GSP
7096970,Drax,132,240,295,53.98,GREEN,GSP
7096999,Elland,132,240,659,299.1,GREEN,GSP
7097000,Ferrybridge B,132,240,864,222.94,GREEN,GSP
7096972,Grimsby West,132,240,295,181.36,GREEN,GSP
7096973,Keadby,132,240,590,278.08,GREEN,GSP
7096974,Kirkstall B,132,240,590,226.9,GREEN,GSP
4038880,Saltend 132/33kV,33,45,50.8,8.241,GREEN,BSP
7096981,Skelton Grange,132,240,915,504.19,GREEN,GSP
7096988-1,West Melton / Thorpe Marsh,132,120,696,381.4,GREEN,GSP
7096988-3,West Melton Section 3,132,180,418,212.2,GREEN,GSP
7096998,Camblesforth,66,180,216,30.758,GREEN,BSP
4038692-66,Ferrybridge A,66,180,198,85.5,GREEN,BSP
4038899,Doncaster B/Thorpe Marsh,66,120,223,136.341,GREEN,BSP
4038847,Attercliffe,33,72,69,44.91,GREEN,BSP
4038848,Blackburn Meadows B,33,60,78,31.1,GREEN,BSP
4038851,Doncaster Central,33,90,117,28.644,GREEN,BSP
4038849,Barugh 132/66kV,66,75,98,65.06,GREEN,BSP
4038850,Hunningley,33,90,117,42.515,GREEN,BSP
4038896,Hunshelf,66,60,156,73.677,GREEN,BSP
4038865,Wakefield Monckton Road,33,90,117,48.93,GREEN,BSP
4038852,West Melton,66,108,141,132.696,AMBER,BSP
7096955,Templeborough 275/33kV,33,75,98,27.459,GREEN,BSP
4038841,Bingley 132/33kV,33,90,117,52.915,GREEN,BSP
4038834,Bradford,33,90,117,80.781,GREEN,BSP
4038833,Girlington,33,90,117,51.44,GREEN,BSP
4038842,Holmfield,33,90,117,73.097,GREEN,BSP
4038836,Menston,33,90,117,53.231,GREEN,BSP
4038839,Silsden,33,54,108,88.121,GREEN,BSP
4038873,Beverley 132/33kV,33,90,103.5,81.21,GREEN,BSP
4038878,Bransholme,33,90,117,44.929,GREEN,BSP
4038872,Driffield/Beverley Group,66,60,147,101.035,GREEN,BSP
4038871,Hull West,33,108,117,49.082,GREEN,BSP
4038874,Hull South,33,108,117,73.53,GREEN,BSP
4038886,Osgodby 3/4,33,108,108,47.289,GREEN,BSP
4038846,Brighouse 132/33kV,33,90,117,67.37,GREEN,BSP
4038844,Lindley,33,90,117,66.27,GREEN,BSP
4038897,Sowerby Bridge 132/33kV,33,90,117,65.511,GREEN,BSP
4038862,Thornhill 132kV,33,90,114,86.848,GREEN,BSP
4038861,Bramham,33,90,117,63.131,GREEN,BSP
4038868,Featherstone,33,108,117,76.4,GREEN,BSP
4038869,Kirkhaw Lane,33,90,117,51.614,GREEN,BSP
4038860,Whinmoor,33,108,117,64.04,GREEN,BSP
4038884,Humberston,33,90,117,30.455,GREEN,BSP
4038881,Immingham,33,90,117,68.087,GREEN,BSP
4038883,Moss Road,33,45,59,36.567,GREEN,BSP
4038882,Yarborough Road 132/33kV,33,90,117,57.3,GREEN,BSP
7096996,Jordanthorpe,33,100,110,55.364,GREEN,BSP
4038891,Blyton,33,60,78,47.666,GREEN,BSP
4038889,Santon,33,90,117,41.508,GREEN,BSP
4038887,Scunthorpe North,33,108,150,96.77,GREEN,BSP
4038885,Wold Newton,33,90,99,47.169,GREEN,BSP
7096967,Beeston Royds 132/33kV,33,90,228,103.97,GREEN,BSP
7097003,Kirkstall C 2/5,33,90,117,74.763,GREEN,BSP
7096975,Neepsend,33,120,144,75.476,GREEN,BSP
7096976,Norton Lees,33,100,110,57.678,GREEN,BSP
7096977,Pitsmoor 3/4,33,100,114,46.62,GREEN,BSP
7096978,Saltend North,132,180,216,98.56,GREEN,GSP
4038879,Hull East 132/33kV,33,108,117,57.267,GREEN,BSP
7096980,Sheffield City,33,100,114,83.63,GREEN,BSP
4038837,Heckmondwike,33,90,52,48.742,GREEN,BSP
4038859,Leeds East,33,90,117,62.783,GREEN,BSP
4038858,Leeds North,33,90,117,60.18,GREEN,BSP
4038900,Low Road,33,120,228,81.842,GREEN,BSP
4038838,Rodley,33,108,117,69.999,GREEN,BSP
4038845,Saint Andrews Road 132/33kV,33,108,71,61.985,GREEN,BSP
7240601,Staygate,33,120,123,76.89,GREEN,BSP
4038866,Wakefield North,33,90,104,71.62,GREEN,BSP
7096994,Thurcroft,66,180,216,125.452,GREEN,BSP
7097005,Wincobank,33,100,130,31.763,GREEN,BSP
4038661-6,Beeston Royds 6/7,11,40,26,21.248,RED,Primary
4038705-2,Hessle Road 2,11,23,23,10.679,GREEN,Primary
4038792-2,Elmhirst Lane 2,11,24,24,11.56,GREEN,Primary
4038633-2,Allerton Hill T2,11,18.75,23,7.212,GREEN,Primary
4038766-2,Newport 2,11,24,18.4,5.881,GREEN,Primary
4038888,Scunthorpe South,33,108,112,27.572,GREEN,BSP
4038497-2,Haworth 2,11,30,30,3.694,GREEN,Primary
7558610,Halifax 132/33kV,33,60,72,38.64,GREEN,BSP
4038894,Kirkstall C/Ring Road Horsforth,33,90,117,75.409,GREEN,BSP
7733114,Mallard Way,33,144,144,36.097,GREEN,BSP
